event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,temperature_c,soil_water_layer_1,soil_water_layer_2,surface_pressure_hpa
714,2008-08-14 00:00:00,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh","Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",Assam,landslide,rain,medium,unknown,,,94.0,27.163,109.5736026763916,298.51390048861504,1421.689576935023,26.312371826171898,0.4178098142147064,0.4125022888183594,982.358828125
731,2008-08-19 00:00:00,"Akuk village, Wokha District, Nagaland","Akuk village, Wokha District, Nagaland",Nagaland,mudslide,downpour,medium,unknown,4.0,,94.25,26.138,268.5140371322632,691.4511919021606,1316.1402642726898,23.731927490234398,0.47715505957603455,0.4936472475528717,928.1215625
755,2008-08-28 00:00:00,"Ranka, Sikkim and Louing road","Ranka, Sikkim and Louing road",Sikkim,landslide,downpour,medium,unknown,,,88.609,27.337,1212.7799987792969,2771.0379362106323,5004.718393087387,18.864923095703148,0.4295463562011719,0.4331398010253906,845.74015625
760,2008-08-29 00:00:00,"Kohima, Nagaland","Kohima, Nagaland",Nagaland,complex,downpour,medium,unknown,,,94.1066,25.67,493.21192502975464,886.4931166172028,2526.2875705957413,20.839654541015648,0.46591058373451233,0.4929542541503906,865.757734375
868,2008-10-29 00:00:00,"Kamrup, and Sonitpur, Assam","Kamrup, and Sonitpur, Assam",Assam,landslide,downpour,medium,unknown,7.0,,91.25,26.3333,0.4923120141029358,991.4041273295879,1079.3353906810808,23.365167236328148,0.4530296325683594,0.46998533606529236,1004.298359375
870,2008-10-29 00:00:00,"West Kameng, Arunachal Pradesh","West Kameng, Arunachal Pradesh",Arunachal Pradesh,mudslide,downpour,medium,unknown,12.0,,92.35,27.4,21.77216485142708,1601.2958772480488,1974.093098193407,12.751000976562523,0.41110801696777344,0.41502442955970764,807.764609375
869,2008-10-29 00:00:00,North Lakhimpur ,North Lakhimpur ,Assam,landslide,downpour,medium,unknown,,,94.1167,27.2333,2.0086970180273056,481.6381707787514,564.5066599026904,21.949395751953148,0.35179075598716736,0.35814857482910156,990.694609375
1084,2009-08-12 00:00:00,"Upper Subansiri District, Arunanchal Pradesh","Upper Subansiri District, Arunanchal Pradesh",Arunachal Pradesh,landslide,downpour,medium,unknown,0.0,,92.8,27.7,2195.739507675171,3538.988769054413,4406.317077577114,16.510736083984398,0.4289296567440033,0.4289601743221283,767.686484375
1108,2009-08-20 00:00:00,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road","Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",Assam,landslide,downpour,medium,unknown,0.0,,93.5,24.9925,158.07755291461945,403.8296863436699,1519.8308154940605,22.289300537109398,0.42631658911705017,0.42543792724609375,932.474453125
1112,2009-08-20 00:00:00,"NH31A, Mile 27 near Rambi","NH31A, Mile 27 near Rambi",Sikkim,mudslide,downpour,medium,unknown,0.0,,88.5287,27.1761,604.5536398887634,1470.5904126167297,8081.006348133087,20.789849853515648,0.42529869079589844,0.43227067589759827,884.4565625
