event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude
3741,2011-07-07 00:00:00,Maram (80 km north of Imphal),Maram (80 km north of Imphal),Nagaland,landslide,rain,medium,unknown,0.0,,94.1079,25.4191
3760,2011-07-11 09:00:00,"NH-61, 1 km before reaching Botsa","NH-61, 1 km before reaching Botsa",Nagaland,landslide,downpour,medium,unknown,0.0,,94.1095,25.6703
3776,2011-07-15 18:00:00,Itanagar/Naharlagur/Nirjuli,Itanagar/Naharlagur/Nirjuli,Arunachal Pradesh,landslide,downpour,small,unknown,0.0,,93.7145,27.125
3789,2011-07-16 00:00:00,Mebua (8 km from Seppa),Mebua (8 km from Seppa),Arunachal Pradesh,landslide,downpour,medium,unknown,0.0,,92.9064,27.2743
3794,2011-07-17 00:00:00,West Bengal-Sikkim at highway Rambi,West Bengal-Sikkim at highway Rambi,Sikkim,landslide,rain,medium,above_road,,,88.42280921,26.99195749
3805,2011-07-19 00:00:00,200 meters from Teesta Bridge towards Siliguri,200 meters from Teesta Bridge towards Siliguri,Sikkim,landslide,rain,medium,above_road,0.0,,88.42572376,27.05374234
3806,2011-07-19 00:00:00,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)","Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)",Arunachal Pradesh,landslide,downpour,medium,unknown,3.0,,93.6884,27.1032
3830,2011-07-22 00:00:00,Manipur,Manipur,Manipur,landslide,downpour,small,unknown,0.0,,94.3429,24.3527
3831,2011-07-22 00:00:00,Heibok Hills,Heibok Hills,Manipur,landslide,downpour,medium,unknown,0.0,,93.948,24.7992
3837,2011-07-24 12:30:00,NH 37,NH 37,Assam,landslide,downpour,medium,unknown,0.0,,93.0038,26.5836
3840,2011-07-25 00:00:00,Manipur,Manipur,Manipur,landslide,downpour,medium,unknown,0.0,,93.9157,24.6869
3860,2011-07-29 00:00:00,"Maram, Manipur","Maram, Manipur",Nagaland,landslide,rain,medium,unknown,0.0,,94.108,25.4192
3881,2011-08-05 00:00:00,Itanagar,Itanagar,Arunachal Pradesh,landslide,downpour,medium,unknown,0.0,,93.6885,27.1034
3912,2011-08-12 00:00:00,East Kameng district in Arunachal Pradesh bordering China,East Kameng district in Arunachal Pradesh bordering China,Arunachal Pradesh,landslide,rain,medium,unknown,0.0,,92.2833,27.44
3916,2011-08-13 08:00:00,"Chumukedima, Dimapur","Chumukedima, Dimapur",Assam,mudslide,downpour,medium,unknown,0.0,,93.8067,25.7713
3925,2011-08-15 00:00:00,"East Kameng, Arunachal Pradesh","East Kameng, Arunachal Pradesh",Arunachal Pradesh,landslide,downpour,medium,unknown,0.0,,93.0153,27.4888
3927,2011-08-16 08:00:00,"Garo Hills, Tura","Garo Hills, Tura",Meghalaya,landslide,downpour,medium,unknown,6.0,,90.2167,25.5144
3932,2011-08-18 00:00:00, Botsa  and Chiechama, Botsa  and Chiechama,Nagaland,landslide,monsoon,medium,unknown,0.0,,94.13,25.83
3965,2011-09-06 08:00:00,NH 37 at Awang Khul ,NH 37 at Awang Khul ,Assam,landslide,rain,medium,unknown,3.0,,93.117,24.808
3983,2011-09-23 00:00:00,"Maighuli, Guwahati, Meghalaya","Maighuli, Guwahati, Meghalaya",Assam,landslide,downpour,large,unknown,4.0,,91.7351,26.1548
4241,2012-03-04 00:00:00,Tamei constituency in Tamenlong district,Tamei constituency in Tamenlong district,Manipur,landslide,unknown,medium,unknown,0.0,,93.6795,25.1604
4313,2012-04-08 00:00:00,"Endulin Nallah, Mayodia, 17-camp, 83-camp","Endulin Nallah, Mayodia, 17-camp, 83-camp",Arunachal Pradesh,landslide,downpour,medium,unknown,0.0,,95.86,28.4659
4378,2012-06-02 00:00:00,"Arunachal Pradesh, Dibang,","Arunachal Pradesh, Dibang,",Arunachal Pradesh,landslide,downpour,medium,unknown,,,96.1517,28.8254
4377,2012-06-02 00:00:00,"Guwahati, Assam","Guwahati, Assam",Assam,landslide,downpour,large,unknown,,,91.7356,26.1475
4382,2012-06-03 00:00:00," between Harangajao and Mailongdisa, Assa,"," between Harangajao and Mailongdisa, Assa,",Assam,landslide,downpour,medium,unknown,,,92.8573,25.1175
4383,2012-06-03 00:00:00,"between Maibang and Daotohaja, Assam","between Maibang and Daotohaja, Assam",Assam,landslide,downpour,medium,unknown,,,93.1265,25.3056
4384,2012-06-03 00:00:00,"between Haflong and  Bagetar, Assam","between Haflong and  Bagetar, Assam",Assam,landslide,downpour,medium,unknown,,,93.0123,25.1775
4394,2012-06-07 04:30:00,"Rolep, South Sikkim( Mapping to Rhenock 12 miles from Rolep)","Rolep, South Sikkim( Mapping to Rhenock 12 miles from Rolep)",Sikkim,landslide,rain,large,unknown,7.0,,88.6458,27.1748
4403,2012-06-10 00:00:00,"Imphal-Jiribam section of NH-37 , Manipur","Imphal-Jiribam section of NH-37 , Manipur",Manipur,landslide,downpour,very_large,unknown,,,93.5444,24.8142
4407,2012-06-13 00:00:00,"NH44, Malidhor area,  Baleswar","NH44, Malidhor area,  Baleswar",Assam,landslide,downpour,medium,unknown,,,92.3567,25.0951
4408,2012-06-13 00:00:00,"NH44, Kuliang","NH44, Kuliang",Meghalaya,landslide,downpour,medium,unknown,,,92.0757,25.5498
4411,2012-06-14 04:00:00,"Tathangchen, Gangtok, Sikkim ","Tathangchen, Gangtok, Sikkim ",Sikkim,landslide,downpour,medium,unknown,,,88.6065,27.339
4424,2012-06-20 00:00:00,"Lalunggaon, Guwahati,  Assam","Lalunggaon, Guwahati,  Assam",Assam,landslide,downpour,medium,unknown,,,91.7351,26.149
4426,2012-06-22 00:00:00,Lalunggaon near Gorchuk area,Lalunggaon near Gorchuk area,Assam,landslide,downpour,medium,unknown,3.0,,91.7162,26.1226
4435,2012-06-25 00:00:00,"Tirap , Arunachal Pradesh","Tirap , Arunachal Pradesh",Arunachal Pradesh,landslide,downpour,large,unknown,,,95.8011,27.174
4436,2012-06-25 00:00:00,"Khonsa, Arunachal Pradesh","Khonsa, Arunachal Pradesh",Arunachal Pradesh,landslide,downpour,medium,unknown,,,95.4993,26.9986
4434,2012-06-25 18:00:00,"Sonaighuli area near Kahilipara, Guwahati City, Assam","Sonaighuli area near Kahilipara, Guwahati City, Assam",Assam,landslide,downpour,large,unknown,1.0,,91.7369,26.1049
4446,2012-07-05 00:00:00,"Tuting, Upper Siang , Arunachal Pradesh","Tuting, Upper Siang , Arunachal Pradesh",Arunachal Pradesh,landslide,downpour,large,unknown,,,94.8885,28.9986
4552,2012-09-14 00:00:00,"Takdah, West Bengal","Takdah, West Bengal",Sikkim,landslide,downpour,medium,unknown,,,88.3603,27.0377
4556,2012-09-16 00:00:00,"Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk","Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk",Sikkim,landslide,downpour,medium,unknown,,,88.3651,27.1675
4570,2012-09-19 00:00:00, Arunachal Pradesh , Arunachal Pradesh ,Arunachal Pradesh,landslide,downpour,medium,unknown,,,95.2253,27.8458
4610,2012-11-11 00:00:00,"Dapchhuah, Mamit, Mizoram","Dapchhuah, Mamit, Mizoram",Mizoram,landslide,downpour,medium,unknown,4.0,,92.5217,23.7705
