event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,elevation_m,slope_degree,aspect_degree
1613,2010-04-02 23:00:00,"Koloriang, Kuring Kumey district, Arunachal Pradesh","Koloriang, Kuring Kumey district, Arunachal Pradesh",Arunachal Pradesh,mudslide,downpour,large,unknown,12.0,,93.3497,27.8997,878.1353149414062,9.075601212793392,195.76966218469198
1756,2010-04-17 00:00:00,"Nam Nang, Gangtok","Nam Nang, Gangtok",Sikkim,landslide,downpour,small,unknown,0.0,,88.6087,27.322,1457.893310546875,4.399761790553298,158.53534533192453
1755,2010-04-17 15:00:00,"Natl. Highway 31-A at Pani House(?), Gangtok","Natl. Highway 31-A at Pani House(?), Gangtok",Sikkim,landslide,downpour,small,unknown,0.0,,88.6083,27.3341,1469.758056640625,17.94398388888501,255.26301919686688
1770,2010-04-20 00:00:00,"Kharghuli, Guwahati, Assam","Kharghuli, Guwahati, Assam",Assam,landslide,downpour,medium,unknown,0.0,,91.763,26.1965,78.13805389404297,2.2424489623539365,304.9651630303252
1771,2010-04-20 00:00:00,"Raj Bhavan Guwahati, Assam","Raj Bhavan Guwahati, Assam",Assam,landslide,downpour,medium,unknown,0.0,,91.7665,26.1978,88.93688201904297,5.015605123771912,302.62294224263184
1776,2010-04-21 00:00:00,Shillong-Jowai(Jwai)-Badarpur National Highway(NH 44) at Sunapur village in Jaintia Hills District,Shillong-Jowai(Jwai)-Badarpur National Highway(NH 44) at Sunapur village in Jaintia Hills District,Meghalaya,landslide,downpour,medium,unknown,0.0,,92.2845,25.3612,1221.856689453125,2.0745837762530543,185.9089590754381
1775,2010-04-21 00:00:00,Arunachal Pradesh ,Arunachal Pradesh ,Arunachal Pradesh,landslide,downpour,medium,unknown,12.0,,96.1779,27.8965,,,
1857,2010-05-11 09:00:00,"National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya","National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya",Meghalaya,landslide,downpour,medium,unknown,0.0,,92.2897,25.3433,1215.112548828125,1.8833264183814304,146.74559054599376
1930,2010-05-31 00:00:00,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ","Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ",Arunachal Pradesh,landslide,downpour,medium,unknown,0.0,,95.8776,28.4298,,,
1929,2010-05-31 23:00:00,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district","North Sikkiim Highway, periphery of Gangtok, Sikkim East district",Sikkim,landslide,downpour,medium,unknown,0.0,,88.6428,27.3543,2061.16845703125,22.227177683462873,102.60050030511354
1935,2010-06-03 00:00:00,"atharamura hills, Highway 44, Tripura","atharamura hills, Highway 44, Tripura",Tripura,landslide,downpour,medium,unknown,0.0,,91.7599,23.8986,211.34381103515625,4.4465495025554524,290.9649887810725
1934,2010-06-03 05:00:00,Rongpur village under Bhairabhnagar panchayat in Karimganj district,Rongpur village under Bhairabhnagar panchayat in Karimganj district,Assam,landslide,downpour,medium,unknown,2.0,,92.3814,24.6005,83.98977661132812,1.8149536381496503,102.10013822547842
1954,2010-06-07 00:00:00,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur","Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",Manipur,landslide,rain,medium,unknown,0.0,,93.5039,24.7543,484.81536865234375,25.209385508396878,356.6770109998239
1961,2010-06-09 14:15:00,"Ishok Chingphu(?), Bishnupur, Assam","Ishok Chingphu(?), Bishnupur, Assam",Meghalaya,landslide,downpour,medium,unknown,0.0,,91.2,25.8833,210.47035217285156,9.928684630065232,140.29806404302911
1987,2010-06-15 00:00:00,"rails between Mahur and Wadringdisa(?), Assam","rails between Mahur and Wadringdisa(?), Assam",Assam,landslide,downpour,medium,unknown,0.0,,93.1658,25.2269,420.1214294433594,3.8107001137483643,311.0575285641565
1986,2010-06-15 00:00:00,"Fazl Ali College, Mokokchung, Nagaland","Fazl Ali College, Mokokchung, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,94.5512,26.3335,1322.29638671875,8.122136598444111,166.218914817047
1994,2010-06-16 00:00:00,"rails between Jatinga and Longrangjao(?), Assam","rails between Jatinga and Longrangjao(?), Assam",Assam,landslide,downpour,medium,unknown,0.0,,92.8025,25.0633,114.3108901977539,4.9032947593491345,85.55926438941185
1996,2010-06-17 19:30:00,"Shayoung Ward(?), Longleng, Nagaland","Shayoung Ward(?), Longleng, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,94.8833,26.4333,486.93707275390625,3.786713557008382,153.85996336816333
2026,2010-06-28 00:00:00,"Borsorsa(?), West Khasi Hills, Meghalaya","Borsorsa(?), West Khasi Hills, Meghalaya",Meghalaya,landslide,downpour,medium,unknown,0.0,,91.2698,25.4916,1511.6146240234375,2.419590035009426,314.24230619384934
2025,2010-06-28 00:00:00,"Police CID complex(?), Shillong, Meghalaya","Police CID complex(?), Shillong, Meghalaya",Meghalaya,landslide,downpour,medium,unknown,1.0,,91.885,25.5728,1486.363037109375,2.451517730705459,354.96514344249783
2045,2010-07-06 00:00:00,"Tuensang, Nagaland","Tuensang, Nagaland",Nagaland,mudslide,monsoon,medium,unknown,0.0,,94.8133,26.2363,1537.0203857421875,6.137338458769166,48.53419663211503
2043,2010-07-06 00:00:00,"Mon, Nagaland","Mon, Nagaland",Nagaland,mudslide,monsoon,medium,unknown,0.0,,95.0281,26.7225,706.0902099609375,3.9986915018952107,73.37759309432857
2042,2010-07-06 00:00:00,"Zunheboto, Nagaland","Zunheboto, Nagaland",Nagaland,mudslide,monsoon,medium,unknown,0.0,,94.5238,26.0093,1794.303955078125,3.178720065314649,251.7233410011473
